Symbol,q1_max,q2_max,q3_max,q4_max,q1_mean,q2_mean,q3_mean,q4_mean,q1_min,q2_min,q3_min,q4_min,q1_std,q2_std,q3_std,q4_std
WLTW,131.93,149.65,155.83,164.02,127.1440323,139.695873,149.3236508,157.962381,122.54,126.28,144.5,150.69,2.303800466,7.602317905,2.646877224,3.568300722
WM,73.78,74.25,78.62,86.3,71.36016129,72.81047619,75.99238095,81.40492063,69.18,70.5,73.39,76.28,1.53646549,0.885090534,1.506796125,3.159881007
WMB,32.42,30.81,31.99,30.51,28.91096774,29.78952381,30.41555556,29.08206349,27.97,27.85,29.01,27.02,0.949515337,0.76993177,0.785981568,0.961942186
WMT,72.39,80.26,81.61,99.62,69.03903226,76.16047619,78.70365079,91.78904762,65.66,71.43,73.23,78.45,1.691675578,2.267691329,2.089915341,6.291358311
WRK,55.62,57.95,59.73,64.42,52.77322581,54.22809524,57.08190476,60.71634921,50.87,49.34,54.33,57.89,1.085279709,2.210640585,1.335442245,2.128174518
WU,22.57,20.13,19.75,20.31,20.39467742,19.35492063,19.06301587,19.62388889,19.53,18.78,18.47,18.8,0.922998886,0.366253363,0.299044904,0.317522471
WY,34.19,34.96,34.43,36.55,32.52548387,33.66444444,32.82349206,35.38206349,30.21,32.59,31.17,34.12,1.324074285,0.639217712,0.864879553,0.639160636
WYN,85.79,105.27,105.41,116.66,81.31903226,96.08809524,101.01,109.8219048,75.93,84,96.15,104.41,2.901289544,5.955403851,2.629449838,2.881370562
WYNN,115.49,138.42,148.92,170.21,99.73516129,125.8411111,136.3465079,154.2261905,87.46,113.47,125.63,140.76,7.457418079,7.514819361,6.58708442,8.682918238
XEC,142.47,121.91,115.51,125.97,129.7390323,110.1366667,99.78492063,116.5969841,116.65,91.33,91.6,110.1,8.004407538,10.39004936,6.252260978,3.918211259
XEL,44.93,48.32,50.51,51.8,42.37354839,46.03873016,47.98269841,49.62738095,40.29,44.4,45.53,47.18,1.43795403,1.253464222,1.364513628,1.294688235
XL,41.19,44.2,46.66,42.51,39.22693548,42.13809524,42.69920635,38.79698413,36.76,39.38,36.48,35.06,1.407262881,1.349307896,2.730600372,2.156841803
XLNX,60.32,68.07,70.83,74.5,58.77830645,63.11174603,65.3315873,70.94365079,57.37,55.1,61.02,67.42,0.757849061,3.91920768,2.588809794,2.018278811
XOM,90.89,83.49,82.19,84.02,83.54306452,81.81857143,79.40444444,82.70738095,80.93,79.5,76.1,80.24,2.366115021,0.843565507,1.725306684,0.949115827
XRAY,64.5,65.59,65.11,68.58,60.19024194,63.1784127,59.45031746,63.59206349,55.59,61.35,52.79,55.65,2.849969,0.975318321,3.851460539,3.524555409
XRX,30.16,29.29,33.95,33.46,28.86322581,28.25412698,31.49412698,30.36809524,27.56,27.52,28.35,28.08,0.784289956,0.390965038,1.483774214,1.782946869
XYL,50.39,55.43,64.75,69.34,48.73887097,52.07936508,59.77920635,66.39690476,47,48.88,54.34,63.23,0.828728247,1.636828043,2.943183651,1.629274633
YUM,68.65,74.82,77.8,83.47,65.11806452,69.58111111,75.23619048,79.10634921,63.18,63.55,72.65,73.75,1.463414869,3.901448495,1.261590686,3.168727383
ZBH,122.11,129.39,132.61,124.46,116.74,122.1155556,118.8588889,116.5387302,103.33,116.54,110.13,108.72,4.153589402,3.701750143,6.707635301,4.017839851
ZION,46.53,43.99,47.18,51.74,43.43629032,41.17777778,44.49761905,47.89111111,40.73,38.99,41.33,43.93,1.421013531,1.175161546,1.132644229,2.115930445
ZTS,55.98,63.51,65.4,72.8,54.03532258,59.05619048,62.63190476,68.68174603,52.51,52.54,59.73,63.24,0.856358508,3.873991202,1.435663112,3.41896067
